Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/recommendations/user_21b142d6130b46638b6d93c0894c18cc,46,0,3,6.1162978223444,1.8791999900713563,109.77400001138449,2.0,0.15412704749065828,0.0,3,4,4,4,7,9,110,110,110,110,110
GET,/api/recommendations/user_21f29c9ba4fa4263a906089255cc2a5c,44,0,4,10.23416363486004,2.128399908542633,96.95659996941686,2.0,0.14742587151280356,0.0,4,5,7,7,19,54,97,97,97,97,97
GET,/api/recommendations/user_24107f070f9146b3b8f01e3a284127b5,45,0,3,3.980926677791609,1.8712999299168587,10.428100009448826,2.0,0.1507764595017309,0.0,3,4,4,5,6,8,10,10,10,10,10
GET,/api/recommendations/user_25d2611685874309b2307d80238696b7,58,0,4,5.973108620623704,2.0046000136062503,81.41850004903972,2.0,0.19433410335778653,0.0,4,5,5,5,7,12,23,81,81,81,81
GET,/api/recommendations/user_26383d7b2c89459fbfcbc1567fc20c3f,45,0,4,5.177171122179264,1.8770000897347927,45.66619999241084,2.0,0.1507764595017309,0.0,4,4,5,6,9,9,46,46,46,46,46
GET,/api/recommendations/user_27010786d6aa4ff7b2ea9e39aca478a5,47,0,4,12.39515531144323,1.7980999546125531,122.03049997333437,2.0,0.15747763547958563,0.0,4,5,6,6,10,100,120,120,120,120,120
GET,/api/recommendations/user_2a07c4addcd6444991fd9782b6f8993c,49,0,3,5.788606113982292,1.8968000076711178,99.63740000966936,2.0,0.16417881145744034,0.0,3,4,4,5,6,8,100,100,100,100,100
GET,/api/recommendations/user_2cc59b2bd42e4d55af35e610e6cfd054,63,0,3,3.9182682577077124,2.0185000030323863,9.294599993154407,2.0,0.21108704330242328,0.0,3,4,5,5,6,7,9,9,9,9,9
GET,/api/recommendations/user_2d36d01f0ac84f64ae5da3685cfa20dd,56,0,4,7.474632152090115,1.9135000184178352,127.91649997234344,2.0,0.1876329273799318,0.0,4,4,5,6,8,9,61,130,130,130,130
GET,/api/recommendations/user_2d5966e6db3348d4ad594a846a4f600c,56,0,4,11.899669638036617,2.299899933859706,390.0052000535652,2.0,0.1876329273799318,0.0,4,4,5,5,7,10,55,390,390,390,390
GET,/api/recommendations/user_305f0ea0e5e64e398da4568655cac07f,49,0,3,5.172497961118969,1.9708999898284674,55.120899924077094,2.0,0.16417881145744034,0.0,3,4,5,6,7,8,55,55,55,55,55
GET,/api/recommendations/user_30986f1309b24548b49aaa558c6cc795,38,0,4,3.893528936283761,2.0048998994752765,8.703799918293953,2.0,0.12732234357923944,0.0,4,4,4,5,6,8,9,9,9,9,9
GET,/api/recommendations/user_30bea778adec494383094e920360f1c7,43,0,4,6.432058129914451,2.0404000533744693,86.52839995920658,2.0,0.14407528352387622,0.0,4,5,5,6,7,15,87,87,87,87,87
GET,/api/recommendations/user_354c0e4cae92454b919d3336e9dfe7fc,51,0,4,6.848513728518989,1.9529999699443579,68.74050002079457,2.0,0.17087998743529503,0.0,4,5,6,6,7,11,62,69,69,69,69
GET,/api/recommendations/user_35cef8f694b84a878292eeaa2657fa51,49,0,4,6.852804077314023,1.978200045414269,100.072699948214,2.0,0.16417881145744034,0.0,4,5,5,7,11,15,100,100,100,100,100
GET,/api/recommendations/user_35fb0e8ff6ed410b93bc05b6849051fa,47,0,4,4.83518936720855,2.0849000429734588,15.97609999589622,2.0,0.15747763547958563,0.0,4,5,6,6,9,11,16,16,16,16,16
GET,/api/recommendations/user_393e97fedb7e466a88a24bdb480dc8ed,42,0,3,7.555214289043631,2.059300080873072,134.44260007236153,2.0,0.14072469553494885,0.0,4,5,6,6,7,12,130,130,130,130,130
GET,/api/recommendations/user_398904c29f5e4b79a6d3aa09ee1be3ce,46,0,4,6.101652182658891,2.166799968108535,99.75320007652044,2.0,0.15412704749065828,0.0,4,4,5,5,6,8,100,100,100,100,100
GET,/api/recommendations/user_3a3ee96eb9e74e06bf532cbbcf1f1e1d,52,0,3,4.679375001265166,2.1748000290244818,21.964000072330236,2.0,0.1742305754242224,0.0,4,4,5,6,7,14,16,22,22,22,22
GET,/api/recommendations/user_3b0a79c64fc34c1fb1ed84ae98721e71,43,0,4,5.015486047256651,2.3113000206649303,22.94409996829927,2.0,0.14407528352387622,0.0,4,5,5,6,7,10,23,23,23,23,23
GET,/api/recommendations/user_3b66b269d29544afbd0663c1ae246a5a,48,0,4,7.910316659642073,1.8267000559717417,82.48749992344528,2.0,0.16082822346851297,0.0,4,4,5,6,15,20,82,82,82,82,82
GET,/api/recommendations/user_3f93b6966a5a4534ba635806553911c2,46,0,3,4.2826304409612455,1.8153999699279666,16.700400039553642,2.0,0.15412704749065828,0.0,3,4,4,5,9,9,17,17,17,17,17
GET,/api/recommendations/user_407876ef57f94f3d894af045dbe306fb,45,0,4,6.957631105453604,1.8298999639227986,96.7483000131324,2.0,0.1507764595017309,0.0,4,5,6,7,10,20,97,97,97,97,97
GET,/api/recommendations/user_409ca5c739064ee2b23d40c45d52f5eb,53,0,4,9.09244717002126,2.1025999449193478,249.5741999009624,2.0,0.17758116341314975,0.0,4,5,5,6,8,10,10,250,250,250,250
GET,/api/recommendations/user_41478f198cad480e8d4347a782abd5ba,46,0,3,6.11055870388594,2.080500009469688,51.15220008883625,2.0,0.15412704749065828,0.0,3,4,5,6,9,21,51,51,51,51,51
GET,/api/recommendations/user_4179afab24a54a569aadad86635a99b2,51,0,3,5.908627435108464,1.969299977645278,67.2218999825418,2.0,0.17087998743529503,0.0,3,4,5,5,6,9,50,67,67,67,67
GET,/api/recommendations/user_44d5ed9b0c9b4da49c5dee154ee3b381,33,0,3,3.608260610648854,1.7943999264389277,13.813700061291456,2.0,0.11056940363460267,0.0,3,4,4,4,4,5,14,14,14,14,14
GET,/api/recommendations/user_451fbecb26e54d7bbb00bc82e2fec0a0,50,0,3,6.250665995758027,1.7758000176399946,61.69290002435446,2.0,0.1675293994463677,0.0,4,5,6,6,10,16,62,62,62,62,62
GET,/api/recommendations/user_4546e6b449db4d5094635d04a33dbcff,49,0,4,7.27638979062286,1.9511999562382698,90.16609995160252,2.0,0.16417881145744034,0.0,4,5,5,6,8,9,90,90,90,90,90
GET,/api/recommendations/user_45d6521240934559ba56062bb39e8420,60,0,3,5.9744883386883885,1.9015000434592366,65.52140007261187,2.0,0.20103527933564122,0.0,3,4,6,6,12,20,26,66,66,66,66
GET,/api/recommendations/user_45e320ed7b7e466c945a571928daed16,38,0,3,4.015465781680848,1.664099982008338,12.907999916933477,2.0,0.12732234357923944,0.0,3,4,4,5,6,9,13,13,13,13,13
GET,/api/recommendations/user_467807b8bf0e4f2999d419c2190103be,35,0,4,5.141531433244901,2.2545999381691217,28.142299968749285,2.0,0.11727057961245738,0.0,4,4,7,7,8,15,28,28,28,28,28
GET,/api/recommendations/user_469abd29cda94817a3a3c67a895081e6,43,0,3,3.5432418754194366,1.8601000774651766,5.906400037929416,2.0,0.14407528352387622,0.0,3,4,5,5,5,6,6,6,6,6,6
GET,/api/recommendations/user_48b179c5e51843f98243522976563b7e,56,0,3,5.4786982135348286,1.9118000054731965,80.04240004811436,2.0,0.1876329273799318,0.0,4,4,5,6,8,8,11,80,80,80,80
GET,/api/recommendations/user_4925843a5875490f88c4706a8b46ab24,47,0,3,5.415440428050909,1.84299994725734,75.50849998369813,2.0,0.15747763547958563,0.0,3,4,5,6,7,7,76,76,76,76,76
GET,/api/recommendations/user_4a3d962e4edc4bc29e2c813acf6920ce,53,0,4,4.196603778081964,2.177600050345063,14.801600016653538,2.0,0.17758116341314975,0.0,4,4,5,5,6,8,9,15,15,15,15
GET,/api/recommendations/user_4c4132796a244cb1aa97855411ded308,52,0,4,5.0696038412682425,1.8842000281438231,19.076399970799685,2.0,0.1742305754242224,0.0,4,5,5,6,8,16,17,19,19,19,19
GET,/api/recommendations/user_4d1c6f3ef4134773aea8a71eb80d8487,51,0,4,8.761386272917484,1.9965000683441758,76.5049000037834,2.0,0.17087998743529503,0.0,4,4,5,6,13,52,68,77,77,77,77
GET,/api/recommendations/user_4d4ba95e5e7c4cf3b44b34d640557a45,50,0,4,4.193751998245716,1.921999966725707,12.17750005889684,2.0,0.1675293994463677,0.0,4,5,5,5,6,7,12,12,12,12,12
GET,/api/recommendations/user_4f86b225c56f4454abb9ff065196b88d,54,0,3,6.155661106782241,1.7605000175535679,94.68929993454367,2.0,0.1809317514020771,0.0,3,4,5,6,8,14,21,95,95,95,95
GET,/api/recommendations/user_4fc432338dd44964b43ebfd1ee8ece90,43,0,3,5.632106991766324,1.7950000474229455,35.77069996390492,2.0,0.14407528352387622,0.0,3,4,5,6,9,18,36,36,36,36,36
GET,/api/recommendations/user_4ff3391f602d4277afc27d2393508a06,57,0,4,5.078749124597954,2.070999937132001,26.482800021767616,2.0,0.19098351536885916,0.0,4,5,5,6,7,16,24,26,26,26,26
GET,/api/recommendations/user_5051d5742d3a4fef922858d425e5157a,51,0,3,3.9924176332230368,1.7662999453023076,11.78760000038892,2.0,0.17087998743529503,0.0,3,4,5,5,7,7,11,12,12,12,12
GET,/api/recommendations/user_51d15035ea0740b5958d30ddab4c4cbf,50,0,4,6.955415995325893,2.4077000562101603,71.12109998706728,2.0,0.1675293994463677,0.0,4,5,5,7,9,22,71,71,71,71,71
GET,/api/recommendations/user_52fcc3d88dac43129ccf84f1fdc12463,57,0,4,4.036029833450652,1.920199953019619,11.084600002504885,2.0,0.19098351536885916,0.0,4,4,5,5,6,8,8,11,11,11,11
GET,/api/recommendations/user_5424a54981514eadad29cee1f00d6960,50,0,4,6.634050002321601,1.8906999612227082,74.70910006668419,2.0,0.1675293994463677,0.0,4,5,6,6,9,16,75,75,75,75,75
GET,/api/recommendations/user_5524eb469fee4912b221bac32628a26d,47,0,3,5.295674477584977,2.1505000768229365,47.909899963997304,2.0,0.15747763547958563,0.0,3,5,5,6,9,11,48,48,48,48,48
GET,/api/recommendations/user_5e7488cce0374d3da779e2b4257d4f4e,59,0,4,4.511930508207593,1.839500037021935,28.2642999663949,2.0,0.19768469134671388,0.0,4,4,4,5,6,9,18,28,28,28,28
GET,/api/recommendations/user_61257183a6284112ac7560807fd4f8fa,48,0,3,9.984235405378664,1.879999996162951,181.11579993274063,2.0,0.16082822346851297,0.0,3,5,6,6,8,19,180,180,180,180,180
GET,/api/recommendations/user_6126831bc66840ed852550d67e7c11be,61,0,4,6.322975390682333,1.7452000174671412,66.03310001082718,2.0,0.20438586732456857,0.0,4,5,5,6,7,14,58,66,66,66,66
GET,/api/recommendations/user_6264bdc5d2bb4a539809820093a4fe10,50,0,3,3.7632400053553283,1.971099991351366,10.822199983522296,2.0,0.1675293994463677,0.0,3,4,4,6,7,7,11,11,11,11,11
GET,/api/recommendations/user_630595e525cb4a67bab3f94e6ac95f4b,43,0,3,4.153348841206279,1.7816999461501837,15.089499996975064,2.0,0.14407528352387622,0.0,3,4,5,5,7,8,15,15,15,15,15
GET,/api/recommendations/user_66a6a55697bd4e7e93a8aa7ac41b8a83,49,0,4,5.302536731338774,2.217100001871586,46.24939989298582,2.0,0.16417881145744034,0.0,4,5,5,6,7,10,46,46,46,46,46
GET,/api/recommendations/user_6b51431fc2a842bc867c974ccb2f1e91,45,0,4,11.141700010436276,1.9335000542923808,209.10530001856387,2.0,0.1507764595017309,0.0,4,4,4,5,7,26,210,210,210,210,210
GET,/api/recommendations/user_6b88a6c339d24820bfb5663c05f5c3f6,41,0,4,8.121065846530765,1.8758000805974007,57.566900039091706,2.0,0.1373741075460215,0.0,4,5,6,7,14,36,58,58,58,58,58
GET,/api/recommendations/user_6fa5f4cdaaf243c58cd43580a7189e04,58,0,3,6.994194828840936,1.8788999877870083,65.53969997912645,2.0,0.19433410335778653,0.0,3,5,5,6,9,52,65,66,66,66,66
GET,/api/recommendations/user_72735a3f6fa948c4862b8adcdb35e816,50,0,4,6.367176005151123,1.8630999838933349,80.8253000723198,2.0,0.1675293994463677,0.0,4,5,6,7,8,10,81,81,81,81,81
